username,user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,gender,location,birth_date,access_rank,join_date,last_online,stats_mean_score,stats_rewatched,stats_episodes
AllieChen,219261,19,164,8,6,20,150.99,Female,,1995-07-17,,2009-08-10,2009-10-23 21:59:00,7.79,86.0,9084.0
sitioalto,910363,43,131,0,0,150,39.76,Female,Austria,1981-01-01,,2011-11-09,2017-03-11 07:44:00,8.91,0.0,2318.0
byi42,32797,1,136,1,1,0,109.35,Male,MD,1991-04-22,,2008-01-21,2013-05-14 22:02:00,7.1,55.0,7265.0
AcidHearts,249161,17,44,0,0,11,20.63,Female,,,,2009-10-21,2010-10-26 10:59:00,8.43,0.0,1210.0
l_Kaicho_l,5183750,21,233,0,4,1056,52.06,Unknown,,,,2016-02-07,1900-05-13 14:46:00,9.46,3.0,3145.0
DarkDisast3r,210797,3,36,1,2,12,22.11,Male,,1992-12-18,,2009-07-20,2010-07-11 07:49:00,6.19,0.0,1309.0
21animegirl21,2004940,2,113,12,14,145,44.35,Female,,,,2013-01-08,1900-05-15 23:40:00,7.38,12.0,2672.0
Athelfirth,2630843,1,59,3,1,3,21.15,Male,Transylvania,1994-08-22,,2013-05-27,2013-11-05 05:05:00,8.59,0.0,1130.0
xBoada,5554151,3,354,10,11,60,146.43,Unknown,,,,2016-07-15,1900-05-15 18:14:00,7.93,0.0,8738.0
IAmDavey,556459,5,236,1,40,11,128.64,Unknown,,,,2011-08-26,1900-02-03 11:11:00,5.62,0.0,7704.0
Majcha,327004,3,322,4,0,168,63.77,Female,,1994-03-11,,2010-05-10,2018-05-14 08:32:00,8.05,32.0,4020.0
Itena,11483,21,222,19,8,58,93.4,Female,"British Columbia, Canada",1992-10-14,,2007-08-28,2017-11-07 21:27:00,8.44,35.0,5578.0
RlYKEN,5925029,18,139,12,9,109,68.55,Unknown,,,,2016-12-24,2018-05-15 02:31:00,8.57,6.0,4176.0
silencio,97752,21,79,28,9,6,100.36,Male,,1991-12-10,,2008-09-23,2013-06-05 18:19:00,7.23,48.0,5984.0
moegopher,54726,3,65,5,6,65,19.48,Male,"Boise, ID",,,2008-04-20,2015-07-24 22:17:00,7.94,38.0,968.0
gulag0rkestar,136028,1,44,0,0,0,26.48,Unknown,,,,2009-01-17,1900-05-09 20:55:00,7.87,0.0,1609.0
cekeki,1301761,0,228,4,22,10,55.62,Male,"Joinville, Brasil",1996-09-11,,2012-05-14,2018-05-14 20:29:34,7.63,1.0,3313.0
WanderingUlysses,256043,5,92,6,5,29,21.31,Male,West-Germany,1979-09-18,,2009-11-07,2012-05-30 10:21:00,6.93,0.0,1180.0
xWhiteTears,1898334,9,93,19,6,295,42.67,Female,,1993-10-28,,2012-12-14,2013-03-28 06:49:00,7.74,7.0,2790.0
FunnyBunny,27709,5,25,1,0,8,22.16,Unknown,,,,2007-12-25,2008-01-14 09:44:00,7.61,0.0,1314.0
CrystalDeity,273224,0,23,0,0,3,9.93,Female,,,,2009-12-23,2010-01-05 12:07:00,8.65,0.0,604.0
Asu-chan,51172,7,109,8,20,22,30.21,Female,Hungary,1987-09-06,,2008-04-11,2011-01-10 09:31:00,6.6,0.0,1754.0
ecoute,288152,11,688,10,0,3746,149.76,Male,Poland,1992-02-21,,2010-01-28,1900-05-12 06:22:00,5.48,9.0,9781.0
AX3M,4972660,73,171,17,6,69,41.51,Male,1.129848%,1997-09-06,,2015-11-03,2018-05-18 11:36:03,8.12,46.0,2650.0
Mochii-kuuuun,1928920,65,487,36,33,334,132.55,Unknown,,,,2012-12-21,2017-09-06 00:13:00,7.48,1.0,8114.0
Jiruga0005,177527,25,199,84,0,336,121.12,Male,Kentucky,1990-06-16,,2009-05-01,1900-01-29 21:05:00,8.87,13.0,7117.0
SP1FF,171180,40,135,7,1,54,73.51,Male,Portugal,1995-05-12,,2009-04-15,1900-04-20 11:58:00,8.28,0.0,4424.0
live4evil,1375699,1,542,0,3,70,110.44,Male,,,,2012-07-02,1900-05-14 12:46:00,7.68,0.0,7580.0
Soul_Smoke,2000062,4,199,1,1,223,33.04,Male,,1996-08-12,,2013-01-07,1900-03-23 08:38:00,7.37,10.0,2025.0
LadyMal,2682873,26,250,20,4,55,52.81,Female,"Calgary, Alberta, Canada",1963-03-27,,2013-06-07,2018-05-16 03:28:48,6.7,0.0,3496.0
Jony,236570,25,174,0,4,70,85.1,Male,Poland,1994-03-01,,2009-09-20,2018-05-15 23:30:00,9.77,0.0,5170.0
ChuuiHawkeye,340781,21,69,10,50,20,62.95,Female,Scarlet Moon Empire,1996-02-17,,2010-06-13,2017-09-07 10:05:00,8.31,14.0,3758.0
AJIKA,429498,4,73,5,0,66,46.12,Male,"Georgia, Tbilisi",1996-07-03,,2011-01-04,2017-10-22 02:28:00,8.13,20.0,2662.0
Mellorox9,1894994,2,151,6,7,14,62.59,Female,"Orlando, Florida",1992-07-16,,2012-12-13,1900-04-16 12:10:00,6.7,104.0,3304.0
Nodzomi,186343,0,68,6,13,40,28.28,Female,"Ukraine, Kyiv",1987-09-24,,2009-05-25,1900-05-09 08:02:00,8.24,0.0,1678.0
Chesca,326790,7,181,25,0,280,30.28,Female,,,,2010-05-09,1900-05-14 22:50:00,8.86,0.0,1993.0
jsvwow,4782435,0,80,1,0,0,39.01,Unknown,,,,2015-07-31,2017-10-29 06:26:00,8.17,0.0,2298.0
rzaevorhan,239016,167,273,0,4,234,92.65,Male,"Russia, St. Petersburg",1993-03-29,,2009-09-26,1900-04-05 07:31:00,8.92,0.0,5593.0
MrFrazzelDazzel,1223339,1,89,0,2,2,49.6,Male,"virginia water, surrey",1996-05-18,,2012-03-31,1900-04-02 03:59:00,7.93,0.0,2969.0
Ookami-chen,130994,8,69,1,0,4,44.84,Female,,1992-02-01,,2009-01-04,1900-05-14 11:47:00,7.41,0.0,2653.0
H4uZ,307543,4,135,7,25,12,53.74,Unknown,,,,2010-03-23,2017-08-12 09:19:00,6.36,0.0,3165.0
Infernal,14106,83,591,0,2,0,282.29,Male,Singapore,1987-03-28,,2007-09-19,1900-04-29 11:51:00,7.82,118.0,16910.0
RuizuTheDeath,1058681,7,95,4,8,81,49.43,Male,"Fortaleza, Ceara",1996-08-28,,2011-12-14,1900-01-27 18:22:00,7.72,0.0,2969.0
idkdess,4653107,7,301,34,2,129,95.94,Unknown,"Bretagne, France",1995-05-14,,2015-06-03,1900-01-17 13:04:00,6.66,5.0,5646.0
Resuri,37306,3,43,15,10,0,27.83,Unknown,,,,2008-02-13,2013-11-25 05:24:00,7.0,0.0,1631.0
dokidoki_xo,1201641,7,120,1,17,7,109.39,Female,candy land.,1991-08-07,,2012-03-16,2016-07-26 17:35:00,6.97,27.0,6518.0
Verienkeli,261662,5,72,14,13,234,18.12,Female,Colorado,1981-02-12,,2009-11-22,2017-10-15 22:25:00,6.91,0.0,972.0
Eshja,472979,14,93,9,7,14,32.21,Female,"Szczecin, Poland",1995-12-17,,2011-04-12,1900-04-08 03:32:00,6.58,0.0,2004.0
Tutti_Love,8332,8,78,4,19,10,52.1,Female,,1992-01-26,,2007-07-24,2012-06-29 23:36:00,8.08,0.0,3084.0
Y2J,2936267,26,171,15,34,205,86.71,Male,Brazil,1998-08-12,,2013-07-26,2018-05-18 11:08:39,7.21,0.0,5244.0
Herkkutatti,422714,6,109,0,1,0,43.71,Male,,,,2010-12-21,1900-03-19 16:20:00,8.33,1.0,2585.0
DarkRanger,2195865,5,168,1,18,17,59.15,Male,,1996-09-09,,2013-02-18,1900-05-13 17:33:00,7.03,0.0,3558.0
MegaShadowSkill,385168,21,104,4,2,12,45.78,Female,"London,UK",,,2010-09-19,2014-06-02 08:29:00,9.53,0.0,2770.0
Tationika,1902388,7,185,1,10,15,1332.14,Female,,1994-01-25,,2012-12-15,2017-04-16 13:59:00,6.89,10.0,21345.0
heenim,4326841,29,156,8,21,28,29.91,Female,Brazil,,,2014-12-16,1900-04-30 20:51:00,7.17,1.0,2062.0
TheMoodieOrange,4918036,14,219,32,4,35,91.64,Unknown,,,,2015-10-05,1900-04-23 06:18:00,7.47,0.0,5478.0
rikaszan,84625,32,137,26,4,124,48.99,Unknown,,,,2008-08-10,1900-03-27 08:47:00,7.98,5.0,3031.0
EpIcBaKa,408055,10,184,11,7,27,61.93,Female,Otaku Land,,,2010-11-14,1900-05-06 18:27:00,7.55,0.0,3748.0
Roll-chan,76182,6,74,4,0,1,25.42,Female,"Ylitornio, Finland",1989-03-13,,2008-07-13,2010-09-26 05:21:00,7.45,12.0,1513.0
jjwood2000jw,4459554,12,55,0,7,10,27.56,Male,"Shifnal, England",2000-12-27,,2015-02-07,2015-11-22 09:48:00,8.08,0.0,1645.0
tandynguyen,1738907,4,298,3,3,35,172.48,Unknown,,,,2012-11-07,1900-05-16 02:35:00,6.99,20.0,10304.0
Harlem,375827,0,210,0,1,16,32.35,Unknown,,1992-10-15,,2010-08-28,2015-08-10 20:50:00,7.58,0.0,2060.0
rushiferu,117934,20,91,0,1,16,76.17,Female,"Venice, Italy",1987-07-22,,2008-11-26,2013-12-11 10:48:00,8.56,33.0,4686.0
To_ja___,253953,127,125,12,0,32,40.4,Female,,1995-09-25,,2009-11-02,2016-08-19 19:43:00,7.1,0.0,2421.0
Tsukanda,75175,33,75,8,8,107,32.0,Unknown,"Random, Bloody room.",,,2008-07-09,2011-06-05 08:19:00,7.97,0.0,1881.0
Akasaka24,4509283,7,158,15,0,60,79.77,Male,Kunugigaoka chugakko,1998-07-20,,2015-03-20,1900-05-15 05:22:00,6.67,2.0,4758.0
Hadigun,87096,5,846,18,67,60,191.12,Male,,1986-11-04,,2008-08-18,1900-04-07 16:57:00,6.55,136.0,11294.0
tezzy090,117591,1,40,0,0,10,35.29,Unknown,,,,2008-11-25,2009-12-13 12:47:00,8.0,0.0,2129.0
MajinRin,304409,21,36,5,0,311,25.25,Female,"Lucerne, Switzerland",1989-11-20,,2010-03-14,2017-02-06 11:38:00,8.27,0.0,1515.0
Yzui,3343571,29,420,46,116,635,143.52,Male,"Tarbes, France",1996-10-12,,2013-11-17,2018-05-18 11:37:10,6.58,20.0,8409.0
srimal,399627,3,56,0,0,5,31.24,Male,,1988-01-23,,2010-10-24,1900-05-11 11:40:00,9.0,3.0,1778.0
Garfield,89727,1,60,2,2,8,25.61,Male,,,,2008-08-27,2017-02-14 10:37:00,7.35,0.0,1473.0
VampireRose,102848,1,613,8,0,113,310.06,Female,California,,,2008-10-07,1900-05-05 13:31:00,8.5,481.0,18337.0
Styloo1994,805035,4,35,0,5,0,49.26,Unknown,,,,2011-10-24,2015-09-01 11:03:00,8.58,0.0,2959.0
netter_mizuno,371107,8,96,4,0,32,39.6,Male,Loimaa Finland,1990-11-16,,2010-08-17,2014-07-24 13:02:00,7.86,0.0,2305.0
SigiltheBee,2175041,11,34,4,3,27,12.2,Female,The present,,,2013-02-13,2013-05-28 06:01:00,6.86,7.0,818.0
CptnUnderpants,193459,9,130,17,22,62,67.3,Male,"Aveiro, Portugal",,,2009-06-13,1900-04-15 14:57:00,7.83,0.0,3915.0
Pizdec,4886767,37,480,23,24,56,200.43,Male,,1993-03-20,,2015-09-20,2018-05-17 13:53:00,7.4,59.0,12096.0
Cloudy,7538,8,733,0,98,0,213.21,Male,"Athens, Greece",1989-09-09,,2007-07-15,2018-05-17 07:42:00,7.22,3.0,12729.0
teodorak,504575,0,281,1,16,3,108.25,Male,/home/teodorak,1989-04-01,,2011-06-27,1900-02-19 20:22:00,7.3,28.0,6423.0
Aseel_Ghassan,4689645,2,138,2,1,53,44.63,Unknown,,,,2015-06-21,2017-10-09 04:06:00,8.2,0.0,2547.0
gottago,2445371,0,18,1,1,2,60.56,Unknown,,,,2013-04-16,2013-05-25 10:04:00,8.25,22.0,3636.0
fuuuu,4508559,21,61,0,3,62,14.01,Male,"Auckland , New Zealand",1996-10-04,,2015-03-19,1900-05-16 11:24:00,8.13,0.0,799.0
Vasco,265282,10,47,7,2,60,15.5,Male,Ericeira Portugal,1990-02-19,,2009-12-02,2014-02-23 16:35:00,7.94,3.0,880.0
dp247,3933745,14,107,388,18,164,24.66,Male,"Leeds, UK",1994-11-15,,2014-07-16,1900-05-11 06:47:00,7.91,7.0,1703.0
Denkoha,188272,92,208,13,10,133,50.1,Female,Somewhere around Asia,1992-03-24,,2009-05-30,2015-04-11 20:12:00,7.63,14.0,3396.0
Deathmones,5017387,23,232,0,9,409,47.51,Male,"England, Lincolnshire",1999-01-28,,2015-11-27,2018-05-18 05:37:35,7.82,25.0,2843.0
Raycont,4721276,6,174,3,18,57,58.27,Unknown,,,,2015-07-05,2018-05-18 08:37:39,7.39,0.0,3382.0
Nightray07,1246945,9,289,10,0,30,67.22,Male,,2012-01-01,,2012-04-12,2017-10-24 07:45:00,8.26,0.0,4020.0
Toguense,1267293,3,429,26,19,70,154.53,Male,,1990-07-30,,2012-04-22,1900-04-02 20:02:00,7.71,0.0,9136.0
xAjKillJu,4183693,27,787,0,0,44,177.03,Male,,,,2014-10-17,2018-05-14 18:07:47,7.13,0.0,10690.0
HesitatedDesire,5585549,36,44,5,8,46,11.35,Female,Ireland,2003-06-10,,2016-07-28,1900-02-06 11:33:00,7.67,0.0,693.0
rogocal,81978,1,147,8,8,50,47.44,Male,Bariloche,1989-09-16,,2008-08-01,1900-03-09 12:08:00,8.2,2.0,2763.0
tamer91,547921,6,1636,22,37,312,448.06,Male,Japan,1991-12-26,,2011-08-17,2018-05-16 06:54:00,7.49,1.0,27170.0
PKLoki,124554,91,246,0,0,25,96.24,Male,Brasil - MA,1994-09-23,,2008-12-17,2014-08-24 18:07:00,8.94,4.0,5755.0
Apocist,8779,6,446,43,17,142,123.39,Male,"Concord, California",1988-07-18,,2007-07-28,2018-05-14 13:15:00,7.71,23.0,7440.0
Aznmobzz,17429,40,241,38,29,63,108.78,Male,,,,2007-10-16,2016-10-31 23:13:00,7.82,0.0,6354.0
ArcaneGod,3125061,3,21,0,0,2,14.74,Unknown,,,,2013-09-07,2014-02-14 20:05:00,7.96,10.0,847.0
TGSMarcus,4719486,9,320,7,0,136,117.39,Male,"St Helens, United Kingdom",1998-11-20,,2015-07-04,2018-05-15 23:29:16,6.69,0.0,7037.0
kitteo,133015,7,26,0,0,51,7.31,Female,VA,,,2009-01-09,2014-10-08 11:57:00,7.32,0.0,409.0
nobara_otome,40504,6,63,13,0,42,13.81,Unknown,,,,2008-03-01,2010-07-14 23:49:00,8.77,0.0,763.0
shelloscooll,41527,7,49,7,3,13,20.08,Female,"Hole, Vic",1991-05-10,,2008-03-07,2013-06-24 01:22:00,6.62,17.0,1154.0
kouvans,1391971,2,89,0,1,262,44.28,Male,,,,2012-07-11,1900-03-16 00:04:00,7.77,0.0,2678.0
homeworld8118,33695,0,198,0,1,0,57.57,Male,"willis,va",1988-04-26,,2008-01-26,2016-07-27 11:04:00,7.67,0.0,3302.0
yanmzry,51948,11,256,2,30,118,111.58,Male,"Manila, Philippines",1988-09-17,,2008-04-12,1900-04-22 02:24:00,8.03,71.0,6584.0
Kito-kun,1971992,4,290,5,0,93,93.64,Male,"Aguadilla, Puerto Rico",1994-01-16,,2012-12-31,1900-03-23 07:55:00,9.5,59.0,5372.0
Ruu,4638516,23,842,63,13,243,228.01,Female,,,,2015-05-26,2018-05-18 07:38:08,7.05,29.0,14048.0
Tubka,114837,3,32,1,0,9,15.9,Unknown,,,,2008-11-16,2011-01-08 10:57:00,6.11,0.0,934.0
Mikura-san,2528591,23,1007,0,0,564,220.41,Male,"Santa Ana, California",1995-02-23,,2013-05-05,2018-05-18 05:38:12,10.0,1203.0,14420.0
xeroxedechidna,2005,8,70,6,3,8,36.58,Male,,,,2007-02-14,2011-04-08 02:45:00,7.79,0.0,2150.0
Kunafox,18667,123,514,34,91,408,221.16,Male,,1987-10-26,,2007-10-25,1900-05-12 23:08:00,7.48,185.0,13314.0
shadowminion,327,3,82,8,1,73,28.02,Unknown,,,,2006-04-27,2011-05-28 23:32:00,6.44,0.0,1621.0
animEavaricE,276886,36,86,1,5,40,29.25,Unknown,,,,2010-01-01,1900-03-28 06:27:00,8.58,0.0,1731.0
Shiro_Hebi,4643090,6,17,9,1,6,7.75,Unknown,,,,2015-05-29,2017-04-09 12:26:00,8.35,0.0,465.0
thisbejacob,5830886,18,237,1,22,29,83.67,Unknown,,,,2016-11-10,2018-05-14 20:15:00,7.32,0.0,5091.0
CrazyArty,1579521,22,672,7,19,24,155.81,Male,"Voghera, Italy",1987-08-08,,2012-10-03,1900-05-10 09:54:00,7.51,0.0,9524.0
ramiro000,3915473,5,32,2,0,18,5.93,Unknown,,,,2014-07-10,1900-05-04 19:08:00,8.66,0.0,364.0
pmpy,196713,23,137,0,0,0,60.83,Male,Wi-Fi Zone,1986-09-21,,2009-06-20,1900-01-23 20:56:00,8.32,0.0,3593.0
ClydezUsagi,5561628,3,161,0,4,0,112.38,Male,,1999-03-13,,2016-07-18,2017-10-10 16:05:00,6.92,0.0,6708.0
zombie_pegasus,4218491,6,1766,47,0,94,141.54,Male,North of America (Canada),1997-05-14,,2014-10-31,2018-05-15 08:27:53,4.58,21.0,10990.0
Itami,561015,8,268,36,13,50,83.56,Female,"Near Atlanta, closer to Tallahassee.",1997-06-18,,2011-08-31,2015-11-27 16:25:00,7.6,10.0,5210.0
lashthebaddeed,135043,31,287,18,44,22,85.06,Male,"Lexington, KY",,,2009-01-14,2014-08-28 07:44:00,6.17,105.0,5226.0
Glycyrrhizic,3392781,4,103,117,2,438,18.79,Male,,,,2013-12-08,1900-05-14 14:32:00,5.67,0.0,1196.0
Gabuh-chan,437509,20,113,0,0,59,76.6,Female,"Asuncion, Paraguay",1995-06-29,,2011-01-19,1900-05-12 02:14:00,7.73,1.0,4662.0
Shizuku,46765,3,162,8,11,5,66.17,Female,"Gdańsk, Poland",1991-08-09,,2008-03-30,2012-06-25 06:48:00,7.57,14.0,3862.0
The_MauZ,283828,8,107,9,6,6,31.78,Female,,1988-03-30,,2010-01-17,2015-01-04 06:19:00,7.53,0.0,1934.0
mckei,163996,37,347,17,0,125,113.38,Male,Mexico City,1984-03-12,,2009-03-28,1900-04-13 00:32:00,8.03,6.0,6875.0
gmbn,4167485,1,31,0,1,13,10.01,Unknown,,,,2014-10-10,2016-09-23 19:05:00,7.53,0.0,593.0
Pheromone,2552107,2,104,4,1,36,18.42,Unknown,,,,2013-05-11,2017-09-09 06:35:00,6.94,0.0,1131.0
Irikon7,1573841,0,82,7,4,39,25.48,Female,"Tirana, Albania",1992-02-18,,2012-10-02,2017-11-02 03:50:00,7.8,3.0,1486.0
Pekkis,224886,56,221,8,6,41,148.92,Male,Finland,,,2009-08-23,2017-07-13 08:18:00,8.06,32.0,8787.0
Lesach,388497,2,532,16,0,12,159.49,Male,Michigan,1983-12-27,,2010-09-27,1900-02-06 20:10:00,8.67,0.0,9505.0
AkaMaster,45755,4,309,70,0,88,106.61,Male,"Ontario, Canada",1992-08-11,,2008-03-26,2016-10-25 20:49:00,8.04,0.0,6386.0
Felby,61409,23,1198,0,136,49,261.65,Male,,1990-01-04,,2008-05-18,2018-05-13 22:48:00,6.85,18.0,16589.0
carrotmaymay,3534315,16,650,7,39,63,152.29,Unknown,"Fresno, Cali",,,2014-01-30,1900-05-11 05:21:00,7.55,14.0,9300.0
SteelLife,388993,8,293,0,1,9,91.26,Male,"Warsaw, Poland",1992-04-22,,2010-09-28,1900-02-22 03:03:00,7.66,0.0,5443.0
SheerBoredom,115641,2,124,4,2,9,38.6,Male,,1991-09-30,,2008-11-18,2016-09-13 00:02:00,8.08,2.0,2239.0
techno_newt,37102,37,515,55,38,211,157.64,Male,"Medford, Oregon",1985-12-19,,2008-02-12,1900-05-11 19:18:00,7.34,9.0,9475.0
renmibo,68090,43,116,3,4,34,72.27,Female,"Cebu City, Philippines",1988-02-22,,2008-06-13,2010-02-27 20:57:00,8.31,0.0,4303.0
Shueisha,1353355,12,360,6,3,86,71.04,Male,"France, Morioh-Cho",1993-10-20,,2012-06-19,1900-05-15 02:46:00,6.45,6.0,3952.0
hotroddd1,20639,14,396,6,4,49,112.0,Male,,,,2007-11-07,1900-05-04 20:19:00,7.62,0.0,6371.0
lineychan,1189279,5,83,3,4,11,25.77,Female,Germany,,,2012-03-09,1900-04-30 09:00:00,8.04,29.0,1507.0
Kog_Maw,288522,19,307,12,21,94,97.17,Male,"Santiago, Chile",1989-10-12,,2010-01-29,1900-05-13 09:04:00,7.39,0.0,5762.0
Sebeastian,2398147,17,77,2,3,12,29.87,Female,"Poland, Warsaw",1998-08-11,,2013-04-06,2017-12-03 07:33:00,7.79,13.0,1801.0
MoonStory,1551673,27,424,31,6,125,104.28,Female,pixieland,1994-08-23,,2012-09-27,2018-05-14 15:18:00,6.74,27.0,6702.0
Tanzirul24,757279,3,36,0,0,47,17.39,Male,"Dhaka, Bangladesh",1990-04-17,,2011-10-16,2015-06-30 11:24:00,9.18,0.0,1045.0
lph,9072,26,640,90,11,410,205.23,Male,,1989-12-09,,2007-07-31,2018-05-18 07:38:58,8.25,8.0,12331.0
Hawk3ye,650399,15,499,2,4,7,133.98,Male,"Ontario, Canada",,,2011-09-26,1900-05-14 11:31:00,7.56,74.0,8157.0
Aidid,130454,0,56,7,0,26,22.58,Male,North Carolina,1994-05-31,,2009-01-03,2017-04-05 23:05:00,8.76,1.0,1344.0
neuromasser,63556,0,63,10,6,87,67.91,Male,"Belgrade, Serbia",1989-06-15,,2008-05-25,1900-03-02 02:32:00,8.3,8.0,4133.0
Tankid,1073633,3,38,4,28,18,36.99,Unknown,,,,2011-12-25,1900-05-03 06:37:00,8.15,0.0,2206.0
njspy,481928,1,203,11,13,13,66.55,Male,MTY Mexico,1987-02-05,,2011-05-02,1900-01-10 00:17:00,6.84,27.0,3920.0
SaraPriscila,1697105,4,87,0,0,162,50.33,Female,"Lisbon, Portugal",1993-09-05,,2012-10-28,1900-05-03 13:20:00,8.45,3.0,3026.0
cyberpunk,5330,9,136,15,13,167,34.24,Female,Israel,1989-01-13,,2007-06-07,2014-10-15 11:14:00,7.16,10.0,2052.0
Okashi_Hikari,473884,6,24,0,0,0,43.04,Female,,1995-01-09,,2011-04-14,2011-04-14 06:48:00,8.63,42.0,2575.0
uchuhana,239235,60,1061,103,84,1797,204.72,Unknown,,,,2009-09-26,2018-05-18 03:39:13,7.18,1.0,14067.0
Saki-Rebellion,291617,19,215,0,0,574,59.27,Male,"Canada, Toronto",1992-04-17,,2010-02-06,2015-02-13 11:12:00,8.41,12.0,3490.0
Shiroma-san,5976216,24,237,1,7,25,125.03,Unknown,"Sao Paulo, Brazil",1994-10-06,,2017-01-12,1900-05-14 19:45:00,7.35,0.0,7623.0
blackbluesock,90598,11,134,42,50,203,39.21,Female,My Woman Cave,1992-01-08,,2008-08-30,2015-09-06 12:59:00,7.53,0.0,2319.0
HyDe_Dyers,5221016,11,51,14,3,168,32.79,Unknown,,,,2016-02-24,1900-05-08 20:23:00,9.0,0.0,1963.0
AwasakiYumi,3936989,8,76,8,2,70,26.91,Non-Binary,,2000-04-02,,2014-07-17,1900-03-10 20:08:00,7.78,1.0,1637.0
makaijo,231133,6,572,3,0,3,171.35,Male,italy,1992-03-28,,2009-09-07,1900-05-16 14:11:00,7.07,0.0,10201.0
urotander,4891095,12,107,17,6,49,35.63,Unknown,Illinois,1999-01-24,,2015-09-22,2018-05-14 14:59:39,7.51,6.0,2082.0
kurosakikun88,943547,5,99,0,0,3,57.91,Male,"Hesperia, Ca",1988-06-16,,2011-11-14,2016-07-24 17:04:00,9.52,42.0,3393.0
Zown,4414,40,459,100,29,74,147.32,Male,,1988-01-01,,2007-05-18,2017-10-17 13:58:00,7.25,32.0,8661.0
Maegos,4964785,1,195,3,29,24,57.67,Unknown,,,,2015-10-30,2018-05-15 08:09:27,7.32,0.0,3442.0
cristianmm97,3914537,6,13,3,5,10,16.42,Male,"Badajoz, Extremadura",1997-06-30,,2014-07-10,2015-02-02 13:44:00,7.85,2.0,984.0
Ghostface_101,3449605,0,43,1,1,8,47.61,Male,UK,1994-02-06,,2014-01-01,1900-01-20 02:31:00,8.49,33.0,2774.0
Xxpixel8xX,141256,1,173,5,35,4,67.77,Male,"Midgar, Florida",1991-09-09,,2009-01-20,2013-05-23 16:58:00,7.25,16.0,4097.0
AndarDio,488555,56,394,42,20,82,148.31,Male,,1989-12-25,,2011-05-19,2016-11-20 22:08:00,7.85,114.0,8510.0
Konj-Chan,5847987,28,121,1,1,18,53.71,Male,"Konjic, Bosnia and Herzegovina",,,2016-11-19,2018-05-16 15:29:42,9.58,0.0,3264.0
NintendoGirl92,2541343,10,127,20,19,97,50.87,Female,,1992-10-14,,2013-05-08,1900-05-07 20:53:00,9.44,0.0,2997.0
Sob99,6549502,5,24,2,1,23,9.6,Male,371,1999-09-09,,2017-09-11,1900-05-15 13:51:00,7.67,0.0,590.0
rukipon79,4459166,8,37,3,2,35,15.42,Female,"Tokyo,Japan",1992-12-02,,2015-02-07,2016-05-03 05:25:00,9.32,0.0,866.0
ArinneRealta,155401,7,105,17,11,27,49.47,Female,Poland,1991-01-17,,2009-03-02,2015-02-07 20:39:00,8.11,25.0,2960.0
PicardX,84071,18,136,4,1,12,88.52,Male,Lawton Oklahoma,1983-02-27,,2008-08-08,2018-05-23 03:02:05,7.63,165.0,4725.0
Clumsy_Pants,6163389,3,45,0,3,3,11.77,Unknown,,,,2017-04-08,1900-03-14 21:46:00,8.19,0.0,690.0
HeckLad,3997615,16,601,38,71,110,166.52,Male,Morioh-cho,2001-03-25,,2014-08-06,2018-05-15 19:12:00,6.87,57.0,10014.0
Crenou,59830,5,68,3,1,25,35.53,Female,,1993-02-13,,2008-05-11,2014-07-06 06:24:00,8.0,0.0,2146.0
Shao_May,509235,0,42,0,7,16,27.35,Female,,,,2011-07-07,2012-05-08 07:08:00,7.37,0.0,1626.0
Gerudowolf,93813,1,59,7,4,1,19.1,Female,Norway,1989-12-21,,2008-09-11,2014-01-05 12:54:00,6.95,3.0,1202.0
thianselena,1302965,18,233,25,14,60,60.89,Female,,1996-04-13,,2012-05-15,1900-03-10 05:14:00,8.17,0.0,3577.0
EDreamEternal,2790409,6,485,231,11,130,106.51,Male,,,,2013-06-29,1900-04-29 21:39:00,7.37,0.0,6358.0
Carmen45,4407513,4,150,11,8,7,61.27,Female,,1995-12-08,,2015-01-11,1900-05-04 20:55:00,7.79,6.0,3630.0
Blubb96,1423983,11,113,4,0,85,66.08,Male,"Kristiansand, Norway",1996-06-22,,2012-07-28,2016-11-24 09:49:00,7.9,0.0,3940.0
ilovefullmetal,201422,6,35,20,9,13,16.03,Female,,1990-12-16,,2009-07-01,2014-04-25 20:05:00,8.38,12.0,945.0
Sehiz,177321,10,31,3,3,27,11.98,Unknown,,,,2009-05-01,2017-11-07 12:45:00,8.53,0.0,731.0
stillcabual,262065,355,55,19,1,47,8.16,Unknown,,,,2009-11-24,1900-03-17 11:55:00,7.29,0.0,463.0
whereswally007,483542,4,51,0,1,7,118.99,Male,Australia,1990-01-01,,2011-05-06,2011-05-12 05:33:00,8.23,75.0,7199.0
ElKaiser,5713202,3,419,0,0,89,77.28,Male,Spain,1999-01-01,,2016-09-21,2018-05-14 16:23:01,7.99,0.0,4781.0
Miku-sama,258310,16,57,3,2,37,28.09,Female,,1993-04-09,,2009-11-13,2009-11-13 22:45:00,9.15,0.0,1683.0
gravity_shifter,446478,24,218,12,24,92,69.9,Female,7th Heaven,,,2011-02-08,2017-10-01 03:19:00,7.65,1.0,4136.0
shadowjoreks,3675205,4,152,0,16,4,69.24,Unknown,,,,2014-04-03,2016-09-21 01:17:00,8.73,10.0,4210.0
